Year,Value_0,Value_1,Value_2,Value_3,Value_4,Value_5,Value_6,Value_7,Value_8,Value_9,Value_10,Value_11,Value_12,Value_13,Value_14,Value_15,Value_16
2012,0,0,0,0,0,0,0,2648,0,0,120942,0,1,8,0,0,44613
2010,0,0,0,0,0,0,0,2561,0,0,124304,0,7,8,0,0,41332
2018,0,0,0,0,0,0,0,939,0,0,122882,0,1,8,0,0,44382
2014,0,0,0,0,0,0,0,1798,0,0,122227,0,2,8,0,0,44177
2022,0,0,0,0,0,0,0,724,0,0,122864,0,1,8,0,0,44615
2016,0,0,0,0,0,0,0,1422,0,0,127162,0,7,8,0,0,39613
2020,0,0,0,0,0,0,0,834,0,0,120382,0,1,8,0,0,46987
2013,0,0,0,0,0,0,0,2560,0,0,123603,0,0,8,0,0,42041
2011,0,0,0,0,0,0,0,3588,0,0,119916,0,0,8,0,0,44700
2023,0,0,0,0,0,0,0,522,0,0,123142,0,0,8,0,0,44540
2019,0,0,0,0,0,0,0,826,0,0,118631,0,1,8,0,0,48746
2015,0,0,0,0,0,0,0,1660,0,0,124966,0,1,8,0,0,41577
2021,0,0,0,0,0,0,0,995,0,0,119998,0,1,8,0,0,47210
2017,0,0,0,0,0,0,0,1097,0,0,125221,0,0,8,0,0,41886
